reference,manufacturer_part_number,jlcpcb_part_number,imported_geometry,electrical_qualification
R12,0402WGF5101TCE,C25905,exact supplier import,incomplete
R13,0402WGF5101TCE,C25905,exact supplier import,incomplete
R14,0402WGF5101TCE,C25905,exact supplier import,incomplete
R15,0402WGF5101TCE,C25905,exact supplier import,incomplete
R16,0402WGF5101TCE,C25905,exact supplier import,incomplete
R17,0402WGF5102TCE,C25794,exact supplier import,incomplete
R18,0402WGF5102TCE,C25794,exact supplier import,incomplete
R19,0402WGF5102TCE,C25794,exact supplier import,incomplete
R20,0402WGF5102TCE,C25794,exact supplier import,incomplete
R21,0402WGF5102TCE,C25794,exact supplier import,incomplete
R22,0402WGF5101TCE,C25905,exact supplier import,incomplete
R23,0402WGF220JTCE,C25092,exact supplier import,incomplete
R24,0402WGF5101TCE,C25905,exact supplier import,incomplete
R25,0402WGF5101TCE,C25905,exact supplier import,incomplete
U1,TLV62569PDDCR,C398365,exact supplier import,incomplete
U2,TLV62569PDDCR,C398365,exact supplier import,incomplete
U3,T113M4020DC0,C41411351,S3 C5197687 reused,incomplete
U4,USBLC6-2SC6,C2827654,exact supplier import,incomplete
U5,ZDSD04GLGEAG,C2875854,exact supplier import,incomplete
U6,SN74AHC1G08DCKR,C122838,exact supplier import,incomplete
L1,XRIM252012S2R2MBCA,C22471111,exact supplier import,incomplete
L2,XRIM252012S2R2MBCA,C22471111,exact supplier import,incomplete
D1,19-21SYGC/S530-E2/4T,C2986011,exact supplier import,incomplete
SW1,TSA010A2026B,C2888420,exact supplier import,incomplete
SW2,TSA010A2026B,C2888420,exact supplier import,incomplete
Y1,CM4024M00008001,C7294624,exact supplier import,incomplete
Y2,Q13FC13500004,C32346,exact supplier import,incomplete
F1,JK-nSMD100-16,C369161,exact supplier import,incomplete
J1,HX TYPE-C 16P L8.35,C41427493,exact supplier import,incomplete
LED2,19-21SYGC/S530-E2/4T,C2986011,exact supplier import,incomplete
LED3,19-217/R6C-AL1M2VY/6T,C2986060,exact supplier import,incomplete
LED4,19-217/R6C-AL1M2VY/6T,C2986060,exact supplier import,incomplete
Q2,MMBT3904LT1G,C81464,exact supplier import,incomplete
Q3,MMBT3904LT1G,C81464,exact supplier import,incomplete
R48,0603WAF1001T5E,C21190,exact supplier import,incomplete
R49,0603WAF1001T5E,C21190,exact supplier import,incomplete
R50,0603WAF1001T5E,C21190,exact supplier import,incomplete
R51,RC0603FR-0710KL,C98220,exact supplier import,incomplete
R52,0402WGF1003TCE,C25741,exact supplier import,incomplete
R53,RC0603FR-0710KL,C98220,exact supplier import,incomplete
R54,0402WGF1003TCE,C25741,exact supplier import,incomplete
U9,TPS2051BDBVR,C24593,exact supplier import,incomplete
U10,USBLC6-2SC6,C2827654,exact supplier import,incomplete
J4,902-131A1011D10100,C2345,exact supplier import,incomplete
R55,0402WGF1003TCE,C25741,exact supplier import,incomplete
R56,RC0603FR-0710KL,C98220,exact supplier import,incomplete
C70,CL05B104KB54PNC,C307331,exact supplier import,incomplete
C71,CL10A106MA8NRNC,C96446,exact supplier import,incomplete
C72,EEEFT1A221AP,C401764,exact supplier import,incomplete
C73,CL05B104KB54PNC,C307331,exact supplier import,incomplete
